scene_id,timecode,script_section,visual,creation_method,source_or_evidence,rights_status,disclosure_note
V001,00:00-00:20,Opening,"Original dark contour map: rainfall gathering around Petra basin",Original vector/map using open elevation reference only after rights check,S01,planned,"No disclosure if clearly schematic"
V002,00:20-00:45,Opening,"Licensed or verified public-domain wide view of the Siq/Treasury",External still with slow crop,TBD,replace_until_verified,"No synthetic realism"
V003,00:45-01:25,Thesis,"Five-layer animated system: slow divert convey settle store",Original motion diagram,P003-P011,original,"No disclosure"
V004,01:25-02:10,Landscape,"Regional locator map and trade-route context without precise route claims",Original vector map,S01;S02,original,"No disclosure"
V005,02:10-03:05,Landscape,"Gravity animation tracing several rain paths into wadis",Original schematic,P001;P016,original,"Label explanatory reconstruction"
V006,03:05-04:05,Slow surge,"Wadi Hremiyyeh catchment cross-section with distributed stone checks",Original diagram derived from source descriptions,S04;S05,original,"Label simplified cross-section"
V007,04:05-04:45,Slow surge,"Before/after hydrograph concept without numeric axes",Original conceptual chart,S04;S05,original,"Label concept not measured event"
V008,04:45-05:35,Diversion,"Siq plan showing main flow and diversion route",Original simplified map,S01,original,"No exact ancient dimensions"
V009,05:35-06:10,Diversion,"Maintenance montage: sediment debris cracked lining inspection",Original icon/diagram sequence,S01,original,"No disclosure"
V010,06:10-07:00,Supply,"Split screen: stored runoff versus continuous spring flow",Original motion diagram,S02,original,"No disclosure"
V011,07:00-07:40,Supply,"Pipeline gradient across ravines; Wadi Mataha case",Original cross-section,S06,original,"Label analytical reconstruction"
V012,07:40-08:25,Quality,"Settling basins with particles dropping sequentially",Original animation,S02,original,"No disclosure"
V013,08:25-09:00,Quality,"Time-scale graphic: minutes hours seasons years",Original typography/motion,P003-P015,original,"No disclosure"
V014,09:00-09:45,City,"Water-use icons: household animals craft agriculture public life",Original icons,S01,original,"Some uses contextual; avoid unsupported quantities"
V015,09:45-10:25,Display,"Plan reconstruction of garden pool and island pavilion",Original diagram based on scholarly description,S08,original,"Label archaeological interpretation"
V016,10:25-11:10,Knowledge,"Network of regional contacts feeding into local adaptation",Original abstract map,S02;S06,original,"Avoid invention arrows implying exact transfer"
V017,11:10-11:45,Knowledge,"Ancient distributed catchment beside modern terrain model",Original comparison,S04,original,"Modern method labels"
V018,11:45-12:30,Maintenance,"Repeated loop: inspect clean repair",Original motion icons,S01,original,"No disclosure"
V019,12:30-13:00,Change,"Timeline bands Nabataean Roman Byzantine later",Original timeline,S01;S02,original,"Do not imply sharp system breaks"
V020,13:00-14:20,Conclusion,"Return to five-layer system then fade to water channel beside monument",Original diagram plus verified external still,TBD,replace_until_verified,"No synthetic footage"
