claim_id,script_section,claim,source_ids,evidence_status,certainty,required_wording_or_limit
P001,Opening,"Petra faces both water scarcity and sudden flash-flood risk.",S01;S03,verified,high,"Say arid/seasonal; do not say rain is absent."
P002,Opening,"The Siq is a narrow approach through which floodwater can move toward the city.",S01,verified,high,"Avoid unsupported speed or height figures."
P003,Thesis,"Petra's water management combined channels tunnels diversion dams cisterns and reservoirs.",S01;S09,verified,high,"Describe a network accumulated over time."
P004,Thesis,"The system both controlled and conserved seasonal rainfall.",S01;S09,verified,high,"Use UNESCO wording only as paraphrase."
P005,Watershed,"Flood moderation included works upstream rather than only barriers at the urban centre.",S04;S05,verified,high,"Use Wadi Hremiyyeh as the clearest studied example."
P006,Watershed,"Terraces/check structures could slow runoff and reduce sudden surges.",S04;S05,verified,medium-high,"Do not claim all terraces had one purpose."
P007,Diversion,"The diversion dam and Muthlim tunnel are surviving elements of Petra's water engineering.",S01,verified,high,"Do not provide dimensions until independently sourced."
P008,Supply,"Petra used both stored runoff and continuous-flow supply systems.",S02,verified,high,"Frame as Ortloff's mapped analysis."
P009,Supply,"Distant springs and rugged terrain created design constraints.",S06,verified,high,"No precise distance claim in script."
P010,Quality,"Settling features were used to reduce suspended material in potable supply.",S02,verified,medium-high,"Say 'analysis identifies' rather than universal fact."
P011,Storage,"Cisterns and reservoirs buffered intermittent supply.",S01;S02,verified,high,"Avoid exact total number."
P012,Urban life,"Water supported extensive settlement in an arid area across Nabataean Roman and Byzantine periods.",S01,verified,high,"Do not imply unchanged governance/system."
P013,Display,"At least one excavated garden-and-pool complex shows water also served display and leisure.",S08,verified,medium-high,"One example; do not generalise to all residents."
P014,Knowledge,"Components drew on wider regional technologies while showing local adaptation and innovation.",S02;S06,verified,medium,"Avoid civilisational superiority claims."
P015,Maintenance,"Petra remains vulnerable where diversion systems are not monitored repaired and maintained.",S01,verified,high,"Modern heritage statement supports maintenance lesson."
P016,Limits,"Modern researchers report important gaps in rainfall runoff and chronology evidence.",S04;S06,verified,high,"Use to label reconstruction and uncertainty."
P017,Conclusion,"Petra managed water as a layered watershed system rather than through one device.",S01;S02;S04;S05,inference,medium-high,"Clearly present as this episode's synthesis."
